1	 China[n 2]	27,308,857	
—	 European Union[n 3]	22,774,165	[11]
2	 United States	21,439,453	
3	 India	11,325,669	
4	 Japan	5,747,496	
5	 Germany	4,444,368	
6	 Russia	4,349,423	
7	 Indonesia	3,737,484	
8	 Brazil	3,456,357	
9	 United Kingdom	3,131,199	
10	 France	3,061,143	
11	 Mexico	2,627,851	
12	 Italy	2,442,768	
13	 Turkey	2,346,576	
14	 South Korea	2,319,585	
15	 Spain	1,940,539	
16	 Canada	1,899,935	
17	 Saudi Arabia	1,898,511	
18	 Iran	1,470,661	
19	 Egypt	1,391,256	
20	 Thailand	1,383,022	
21	 Australia	1,364,835	
—	 Taiwan	1,300,212	
22	 Poland	1,286,920	
23	 Nigeria	1,216,797	
24	 Pakistan	1,202,091	
25	 Malaysia	1,078,537	
26	 Philippines	1,025,758	
27	 Netherlands	1,005,274	
28	 Argentina	903,542	
29	 Bangladesh	837,588	
30	 South Africa	809,034	
31	 Colombia	783,002	
32	 Vietnam	770,227	
33	 United Arab Emirates	746,350	
34	 Iraq	705,059	
35	 Algeria	681,396	
36	 Singapore	585,055	
37	 Belgium	567,488	
38	  Switzerland	565,646	
39	 Sweden	563,882	
40	 Romania	546,586	
41	 Kazakhstan	537,664	
42	 Chile	502,846	
—	 Hong Kong	490,880	
43	 Austria	479,364	
44	 Peru	478,303	
45	 Czech Republic	413,119	
46	 Ireland	412,797	
47	 Norway	410,713	
48	 Ukraine	409,257	
49	 Qatar	365,835	
50	 Myanmar	355,609	
51	 Israel	354,197	
52	 Portugal	345,572	
53	 Hungary	332,225	
54	 Morocco	328,651	
55	 Greece	324,128	
56	 Denmark	312,842	
57	 Kuwait	312,100	
58	 Sri Lanka	304,826	
59	 Uzbekistan	297,222	
60	 Finland	264,720	
61	 Ethiopia	240,168	
62	 Ghana	209,844	
63	 New Zealand	206,225	
64	 Oman	203,959	
65	 Angola	203,433	
66	 Ecuador	202,773	
67	 Dominican Republic	201,266	
68	 Slovak Republic	199,722	
69	 Belarus	195,599	
70	 Tanzania	191,631	
71	 Kenya	191,263	
72	 Azerbaijan	187,260	
73	 Sudan	175,987	
74	 Bulgaria	171,185	
75	 Guatemala	153,322	
76	 Tunisia	149,190	
77	 Serbia	129,298	
78	 Turkmenistan	121,885	
79	 Côte d'Ivoire	117,110	
80	 Panama	113,156	
81	 Croatia	112,589	
82	 Uganda	104,756	
83	 Lithuania	102,179	
84	 Cameroon	100,884	
85	 Paraguay	97,163	
86	 Jordan	97,161	
87	   Nepal	94,419	
88	 Bolivia	94,392	
89	 Costa Rica	91,611	
90	 Lebanon	91,286	
91	 Congo, Democratic Republic of the	83,112	
92	 Uruguay	82,969	
93	 Slovenia	79,591	
—	 Macau	77,700	
94	 Bahrain	76,951	
95	 Cambodia	76,934	
96	 Afghanistan	76,486	
97	 Zambia	75,996	
98	 Yemen	72,171	
99	 Luxembourg	66,848	
100	 Senegal	64,600	
101	 Libya	61,559	
102	 Latvia	60,562	
103	 Laos	58,091	
104	 El Salvador	55,731	
105	 Honduras	51,757	
106	 Bosnia and Herzegovina	49,794	
107	 Estonia	47,306	
108	 Mongolia	47,217	
109	 Mali	47,181	
110	 Madagascar	45,974	
111	 Georgia	45,398	
112	 Trinidad and Tobago	45,193	
113	 Botswana	44,133	
114	 Burkina Faso	42,222	
115	 Benin	40,717	
116	 Mozambique	40,600	
117	 Zimbabwe	40,274	
118	 Albania	40,151	
119	 Gabon	39,648	
120	 Cyprus	36,268	
121	 Brunei	35,920	
122	 Nicaragua	34,531	
123	 North Macedonia	34,267	
124	 Papua New Guinea	34,257	
125	 Tajikistan	33,351	
126	 Guinea	33,265	
127	 Armenia	32,909	
128	 Republic of Congo	32,768	
129	 Chad	31,760	
130	 Mauritius	31,663	
131	 Rwanda	30,346	
132	 Equatorial Guinea	28,970	
133	 Jamaica	27,867	
134	 Namibia	27,707	
135	 Moldova	27,282	
136	 Kyrgyzstan	25,915	
137	 Niger	25,780	
138	 Malawi	25,167	
139	 Malta	22,982	
—	 Kosovo	22,179	
140	 South Sudan	21,435	
141	 Haiti	21,124	
142	 Iceland	20,003	
143	 Mauritania	19,811	
144	 Togo	14,962	
145	 Sierra Leone	13,079	
146	 Bahamas, The	12,691	
147	 Somalia	12,660	
148	 Montenegro	12,516	
149	 Eswatini	12,444	
150	 Fiji	10,868	
151	 Suriname	9,289	
152	 Maldives	8,667	
153	 Burundi	8,384	
154	 Bhutan	8,199	
155	 Lesotho	7,403	
156	 Guyana	7,135	
157	 Timor-Leste	6,823	
158	 Eritrea	6,526	
159	 Liberia	6,471	
160	 Gambia, The	6,448	
161	 Barbados	5,434	
162	 Aruba	4,487	
163	 Cape Verde	4,325	
164	 Djibouti	6,004	
165	 Central African Republic	4,262	
166	 Guinea-Bissau	3,585	
167	 Belize	3,520	
168	 Seychelles	3,056	
169	 Antigua and Barbuda	2,735	
170	 St. Lucia	2,606	
171	 San Marino	2,072	
172	 Grenada	1,819	
173	 St. Kitts and Nevis	1,729	
174	 Solomon Islands	1,476	
175	 Comoros	2,446	
176	 St. Vincent and the Grenadines	1,375	
177	 Samoa	1,237	
178	 Vanuatu	862	
179	 Dominica	849	
180	 São Tomé and Príncipe	753	
181	 Tonga	650	
182	 Micronesia, Federated States of	365	
183	 Palau	282	
184	 Kiribati	250	
185	 Marshall Islands	217	
186	 Nauru	117	
187	 Tuvalu	47	